Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
6/13/24,6/13/24,6/14/24,HIMS,HIMS 7/19/2024 Call $24.00,BTO,1,$2.10 ,($210.03)
6/13/24,6/13/24,6/14/24,,ACH Deposit,ACH,,,$20.00 
6/13/24,6/13/24,6/14/24,RYCEY,"Rolls-Royce
CUSIP: 775781206",Buy,20,$5.91 ,($118.20)
6/13/24,6/13/24,6/14/24,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,5,$127.56 ,($637.80)
6/12/24,6/12/24,6/13/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020046,$498.83 ,($10.00)
6/12/24,6/12/24,6/13/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.41876,$23.88 ,($10.00)
6/12/24,6/12/24,6/13/24,SNOW,SNOW 8/16/2024 Call $130.00,BTO,1,$9.95 ,($995.03)
6/12/24,6/12/24,6/13/24,HIMS,HIMS 11/15/2024 Call $22.00,STC,2,$5.90 ,"$1,179.89 "
6/12/24,6/12/24,6/13/24,,ACH Deposit,ACH,,,$20.00 
6/12/24,6/12/24,6/13/24,PLTR,PLTR 11/15/2024 Call $24.00,BTO,2,$3.73 ,($746.06)
6/12/24,6/12/24,6/13/24,PLTR,PLTR 11/15/2024 Call $24.00,BTC,1,$3.74 ,($374.03)
6/12/24,6/12/24,6/13/24,PLTR,PLTR 11/15/2024 Call $24.00,BTC,1,$3.74 ,($374.03)
6/12/24,6/12/24,6/13/24,RYCEY,"Rolls-Royce
CUSIP: 775781206",Buy,5,$5.98 ,($29.90)
6/12/24,6/12/24,6/13/24,PLTR,PLTR 11/15/2024 Call $24.00,STO,2,$3.70 ,$739.90 
6/11/24,6/11/24,6/12/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020355,$491.26 ,($10.00)
6/11/24,6/11/24,6/12/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.419815,$23.82 ,($10.00)
6/11/24,6/11/24,6/12/24,,ACH Deposit,ACH,,,$20.00 
6/11/24,6/11/24,6/12/24,HIMS,HIMS 11/15/2024 Call $22.00,BTO,2,$4.20 ,($840.06)
6/10/24,6/10/24,6/11/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020359,$491.18 ,($10.00)
6/10/24,6/10/24,6/11/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.436871,$22.89 ,($10.00)
6/10/24,6/10/24,6/11/24,,ACH Deposit,ACH,,,$20.00 
6/10/24,6/10/24,6/11/24,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,5,$122.30 ,($611.53)
6/10/24,6/10/24,6/11/24,RYCEY,"Rolls-Royce
CUSIP: 775781206",Buy,5,$5.86 ,($29.30)
6/7/24,6/7/24,6/10/24,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring",Buy,0.020285,$492.97 ,($10.00)
6/7/24,6/7/24,6/10/24,PLTR,"Palantir Technologies
CUSIP: 69608A108
Recurring",Buy,0.429368,$23.29 ,($10.00)
6/7/24,6/7/24,6/10/24,,ACH Deposit,ACH,,,$20.00 
